,Total,Speed,Direction_Degrees
0,20.489311,9.83488,180.0
1,21.035124,9.83488,180.0
2,20.285104,9.83488,180.0
3,19.617786,9.83488,180.0
4,19.481828,9.83488,180.0
5,19.481828,9.83488,180.0
6,18.938088999999998,9.83488,180.0
7,19.343064000000002,9.83488,180.0
8,18.93274,9.83488,180.0
9,19.02947,9.83488,180.0
10,18.95279,9.83488,180.0
11,18.997753,9.83488,180.0
12,18.961367,9.83488,180.0
13,18.535619,9.83488,180.0
14,19.256862,9.83488,180.0
15,18.796295,9.83488,180.0
16,18.985845,9.83488,180.0
17,18.877844,9.83488,180.0
18,18.957693,9.83488,180.0
19,19.145903,9.83488,180.0
20,19.620964999999998,9.83488,180.0
21,19.308118,9.83488,180.0
22,18.911296999999998,9.83488,180.0
23,19.072976,9.83488,180.0
24,19.154085000000002,9.83488,180.0
25,18.877249,9.83488,180.0
26,18.837305,9.83488,180.0
27,19.143654,9.83488,180.0
28,18.784232,9.83488,180.0
29,18.361669,9.83488,180.0
30,18.106195,9.83488,180.0
31,18.055425,9.83488,180.0
32,18.257469999999998,9.83488,180.0
33,17.16482,9.83488,180.0
34,18.185614,9.83488,180.0
35,18.411226,9.83488,180.0
36,18.078614,9.83488,180.0
37,17.960125,9.83488,180.0
38,17.916586,9.83488,180.0
39,17.994079,9.83488,180.0
40,18.122217,9.83488,180.0
41,18.140687999999997,9.83488,180.0
42,18.806317,9.83488,180.0
43,17.743363000000002,9.83488,180.0
44,17.773256,9.83488,180.0
45,17.979505,9.83488,180.0
46,17.890854,9.83488,180.0
47,18.019688,9.83488,180.0
48,18.421266000000003,9.83488,180.0
49,18.977551,9.83488,180.0
50,18.388849,9.83488,180.0
51,18.140932,9.83488,180.0
52,18.987483,9.83488,180.0
53,18.844084,9.83488,180.0
54,18.547596,9.83488,180.0
55,18.964299,9.83488,180.0
56,19.04862,9.83488,180.0
57,18.915289,9.83488,180.0
58,18.972966999999997,9.83488,180.0
59,18.888176,9.83488,180.0
60,18.680915,9.83488,180.0
61,18.729675,9.83488,180.0
62,18.518116,11.176,180.0
63,18.530593,11.176,180.0
64,19.013418,11.176,180.0
65,18.528726,11.176,180.0
66,18.242275,11.176,180.0
67,18.476236999999998,11.176,180.0
68,18.922166,11.176,180.0
69,18.260756,11.176,180.0
70,18.233489,11.176,180.0
71,18.035435,11.176,180.0
72,18.316425,11.176,180.0
73,18.416138,11.176,180.0
74,18.524478000000002,11.176,180.0
75,18.52158,11.176,180.0
76,18.155342,11.176,180.0
77,17.552245,11.176,180.0
78,17.513946,11.176,180.0
79,17.905825,11.176,180.0
80,18.122998,11.176,180.0
81,17.917968,11.176,180.0
82,18.461671000000003,11.176,180.0
83,18.086753,11.176,180.0
84,18.035546,11.176,180.0
85,18.30498,11.176,180.0
86,18.047474,11.176,180.0
87,17.718106,11.176,180.0
88,17.868388,11.176,180.0
89,18.464837000000003,11.176,180.0
90,18.61937,11.176,180.0
91,18.903105,11.176,180.0
92,18.289929,11.176,180.0
93,17.74877,11.176,180.0
94,17.695291,11.176,180.0
95,17.950406,11.176,180.0
96,17.998504,11.176,180.0
97,18.419082,11.176,180.0
98,17.891195,11.176,180.0
99,17.865375,11.176,180.0
100,18.265915,11.176,180.0
101,18.252758,11.176,180.0
102,17.935133,11.176,180.0
103,18.159182,11.176,180.0
104,18.641624,11.176,180.0
105,17.984878,11.176,180.0
106,18.903522,11.176,180.0
107,18.688851,11.176,180.0
108,18.883775,11.176,180.0
109,18.251514,11.176,180.0
110,18.367162999999998,11.176,180.0
111,18.961436,11.176,180.0
112,19.027821,11.176,180.0
113,18.986821,11.176,180.0
114,18.604607,11.176,180.0
115,18.932043,11.176,180.0
116,19.348703,11.176,180.0
117,18.303035,11.176,180.0
118,18.482854,11.176,180.0
119,18.098112,11.176,180.0
120,19.050408,11.176,180.0
121,18.405875,11.176,180.0
122,18.690939999999998,11.176,180.0
123,18.669709,11.176,180.0
124,18.723322,11.176,180.0
125,18.607348,11.176,180.0
126,18.30969,11.176,180.0
127,18.657038,11.176,180.0
128,18.628376,11.176,180.0
129,18.859572999999997,11.176,180.0
130,17.713991,11.176,180.0
131,18.001379,11.176,180.0
132,18.661389,11.176,180.0
133,18.871161,11.176,180.0
134,18.672841,11.176,180.0
135,18.128208,11.176,180.0
136,18.323555,11.176,180.0
137,18.752604,11.176,180.0
138,18.834722,11.176,180.0
139,18.396479,11.176,180.0
140,18.982374999999998,11.176,180.0
141,18.695922,11.176,180.0
142,19.289247,11.176,180.0
143,18.807233,11.176,180.0
144,19.387922,11.176,180.0
145,19.643634,11.176,180.0
146,19.073036000000002,11.176,180.0
147,19.872477,11.176,180.0
148,19.533575,11.176,180.0
149,19.01327,11.176,180.0
150,18.789159,11.176,180.0
151,18.179973,11.176,180.0
152,18.40268,11.176,180.0
153,18.793035,11.176,180.0
154,18.349435999999997,11.176,180.0
155,19.287743,11.176,180.0
156,19.73132,11.176,180.0
157,19.034953,11.176,180.0
158,19.655328,11.176,180.0
159,19.602487,11.176,180.0
160,18.940554,11.176,180.0
161,18.834532,11.176,180.0
162,18.581431,11.176,180.0
163,19.306524,11.176,180.0
164,19.103371,11.176,180.0
165,19.233539,11.176,180.0
166,19.785424,11.176,180.0
167,19.138286,11.176,180.0
168,19.469157,11.176,180.0
169,19.234132,11.176,180.0
170,19.420192,11.176,180.0
171,19.152926,11.176,180.0
172,19.209625,11.176,180.0
173,18.290151,11.176,180.0
174,19.100304,11.176,180.0
175,18.74146,11.176,180.0
176,19.127202999999998,11.176,180.0
177,19.414474,11.176,180.0
178,19.304146,11.176,180.0
179,19.510026,11.176,180.0
180,19.315319000000002,11.176,180.0
181,19.498120999999998,11.176,180.0
182,19.691772999999998,11.176,180.0
183,19.506585,11.176,180.0
184,19.891964,11.176,180.0
185,19.397184,11.176,180.0
186,19.340868,11.176,180.0
187,19.071675,11.176,180.0
188,20.051778,11.176,180.0
189,20.209039999999998,11.176,180.0
190,20.103241,11.176,180.0
191,19.336471,11.176,180.0
192,19.630305,11.176,180.0
