time,Direction,Lead_hours,Source_time,Speed
2024-02-07 12:00:00+00:00,WNW,1,1707300000,12.070079999999999
2024-02-07 15:00:00+00:00,NNW,1,1707310800,12.96416
2024-02-07 18:00:00+00:00,NNW,1,1707321600,11.176
2024-02-07 21:00:00+00:00,NNW,1,1707332400,3.12928
2024-02-08 00:00:00+00:00,WNW,1,1707343200,4.91744
2024-02-08 03:00:00+00:00,NW,1,1707354000,5.81152
2024-02-08 06:00:00+00:00,NNW,1,1707364800,7.15264
2024-02-08 09:00:00+00:00,N,1,1707375600,7.15264
2024-02-08 12:00:00+00:00,E,1,1707386400,1.78816
2024-02-08 15:00:00+00:00,NE,1,1707397200,7.15264
2024-02-08 18:00:00+00:00,ENE,1,1707408000,4.02336
2024-02-08 21:00:00+00:00,E,1,1707418800,8.04672
2024-02-09 00:00:00+00:00,E,1,1707429600,9.83488
2024-02-09 03:00:00+00:00,ESE,1,1707440400,9.83488
2024-02-09 06:00:00+00:00,E,1,1707451200,11.176
2024-02-09 09:00:00+00:00,ESE,1,1707462000,8.04672
2024-02-09 12:00:00+00:00,ESE,1,1707472800,15.19936
2024-02-09 15:00:00+00:00,ESE,1,1707483600,13.85824
2024-02-09 18:00:00+00:00,E,1,1707494400,15.19936
2024-02-09 21:00:00+00:00,ESE,1,1707505200,16.98752
2024-02-10 00:00:00+00:00,E,1,1707516000,16.09344
2024-02-10 03:00:00+00:00,ESE,1,1707526800,15.19936
2024-02-10 06:00:00+00:00,E,1,1707537600,16.09344
2024-02-10 09:00:00+00:00,E,1,1707548400,16.09344
2024-02-10 12:00:00+00:00,E,1,1707559200,16.09344
2024-02-10 15:00:00+00:00,E,1,1707570000,16.09344
2024-02-10 18:00:00+00:00,E,1,1707580800,16.98752
2024-02-10 21:00:00+00:00,E,1,1707591600,16.98752
2024-02-11 00:00:00+00:00,ESE,1,1707602400,12.96416
2024-02-11 03:00:00+00:00,SE,1,1707613200,12.070079999999999
2024-02-11 06:00:00+00:00,SE,1,1707624000,11.176
2024-02-11 09:00:00+00:00,SSE,1,1707634800,4.91744
2024-02-11 12:00:00+00:00,SSE,1,1707645600,7.15264
2024-02-11 15:00:00+00:00,SE,1,1707656400,9.83488
2024-02-11 18:00:00+00:00,SSE,1,1707667200,8.04672
2024-02-11 21:00:00+00:00,SSE,1,1707678000,8.04672
2024-02-12 00:00:00+00:00,SSE,1,1707688800,7.15264
2024-02-12 03:00:00+00:00,SW,1,1707699600,3.12928
2024-02-12 06:00:00+00:00,WSW,1,1707710400,7.15264
2024-02-12 09:00:00+00:00,SW,1,1707721200,5.81152
2024-02-12 12:00:00+00:00,SSW,1,1707732000,5.81152
2024-02-12 15:00:00+00:00,S,1,1707742800,8.04672
2024-02-12 18:00:00+00:00,S,1,1707753600,8.04672
2024-02-12 21:00:00+00:00,SSW,1,1707764400,5.81152
2024-02-13 00:00:00+00:00,W,1,1707775200,4.91744
2024-02-13 03:00:00+00:00,WSW,1,1707786000,12.070079999999999
2024-02-13 06:00:00+00:00,WSW,1,1707796800,8.9408
2024-02-13 09:00:00+00:00,SW,1,1707807600,12.070079999999999
2024-02-13 12:00:00+00:00,SSW,1,1707818400,12.070079999999999
2024-02-13 15:00:00+00:00,SW,1,1707829200,15.19936
2024-02-13 18:00:00+00:00,WSW,1,1707840000,12.070079999999999
2024-02-13 21:00:00+00:00,WNW,1,1707850800,12.070079999999999
2024-02-14 00:00:00+00:00,W,1,1707861600,9.83488
2024-02-14 03:00:00+00:00,WSW,1,1707872400,9.83488
